month,total_claims
2024-10-01 00:00:00+00:00,1436727
2024-11-01 00:00:00+00:00,1301776
2024-12-01 00:00:00+00:00,1379136
2025-01-01 00:00:00+00:00,1397566
2025-02-01 00:00:00+00:00,1265064
2025-03-01 00:00:00+00:00,1361727
2025-04-01 00:00:00+00:00,1370921
2025-05-01 00:00:00+00:00,1363686
2025-06-01 00:00:00+00:00,1333760
2025-07-01 00:00:00+00:00,1389436
2025-08-01 00:00:00+00:00,1344120
2025-09-01 00:00:00+00:00,1386134
